Energy (MeV),Defect Density (cm^-3)
0.1,0.0
0.15,0.0
0.2,0.0
0.25,9242457600000.0
0.3,21817374400000.0
0.35,31846067200000.004
0.4,40344416000000.0
0.45,47833968000000.01
0.5,54611472000000.01
0.55,60852144000000.01
0.6,66679008000000.016
0.65,72162896000000.0
0.7,77363456000000.0
0.75,82321696000000.0
0.8,87063712000000.0
0.85,91611872000000.02
0.9,95992272000000.02
0.95,100216096000000.02
1.0,104298256000000.02
1.5,139080496000000.02
2.0,166306080000000.0
2.5,188644256000000.03
3.0,207534032000000.03
3.5,223855216000000.03
4.0,238189376000000.03
4.5,250946592000000.03
5.0,262421376000000.03
5.5,272829952000000.03
6.0,282343808000000.0
6.5,291093424000000.0
7.0,299183184000000.1
7.5,306695104000000.1
8.0,313700016000000.1
8.5,320261296000000.0
9.0,326419952000000.0
9.5,332220720000000.0
10.0,337693424000000.0
15.0,379734080000000.06
20.0,407507680000000.06
25.0,427340640000000.06
30.0,442103520000000.06
35.0,453324800000000.06
40.0,462048320000000.06
45.0,468833280000000.06
50.0,474201600000000.06
55.0,478414240000000.1
60.0,481769440000000.06
65.0,484453600000000.06
70.0,486578560000000.06
75.0,488256160000000.06
80.0,489635520000000.06
85.0,490716640000000.1
90.0,491611360000000.06
95.0,492282400000000.1
100.0,492878880000000.1
150.0,494929280000000.06
200.0,495003840000000.1
250.0,494705600000000.06
300.0,494407360000000.06
350.0,494109120000000.06
400.0,493848160000000.1
450.0,493624480000000.06
500.0,493438080000000.1
550.0,493288960000000.06
600.0,493139840000000.06
650.0,493028000000000.06
700.0,492916160000000.06
750.0,492841600000000.06
800.0,492729760000000.06
850.0,492655200000000.06
900.0,492580640000000.06
950.0,492543360000000.06
1000.0,492468800000000.1
1500.0,492096000000000.1
2000.0,491909600000000.06
2500.0,491797760000000.06
3000.0,491685920000000.1
3500.0,491648640000000.06
4000.0,491611360000000.06
4500.0,491574080000000.06
5000.0,491536800000000.06
5500.0,491499520000000.1
6000.0,491499520000000.1
6500.0,491462240000000.06
7000.0,491462240000000.06
7500.0,491424960000000.06
8000.0,491424960000000.06
8500.0,491424960000000.06
9000.0,491424960000000.06
9500.0,491387680000000.06
10000.0,491387680000000.06
