Energy (MeV),Defect Density (cm^-3)
0.0001,0.0
0.00015,0.0
0.0002,5.0805184e+18
0.00025,9.145156800000001e+18
0.0003,1.2018326400000002e+19
0.00035,1.4129865600000002e+19
0.0004,1.5722840000000002e+19
0.00045,1.6946369600000002e+19
0.0005,1.7897755200000004e+19
0.00055,1.86429824e+19
0.0006,1.92293968e+19
0.00065,1.96909232e+19
0.0007,2.00525392e+19
0.00075,2.03340032e+19
0.0008,2.05498544e+19
0.00085,2.07120224e+19
0.0009,2.08294544e+19
0.00095,2.09099792e+19
0.001,2.09595616e+19
0.0015,2.05192848e+19
0.002,1.9465752e+19
0.0025,1.8343251200000002e+19
0.003,1.7285990400000002e+19
0.0035,1.6325284800000002e+19
0.004,1.5461507200000002e+19
0.0045,1.4686083200000002e+19
0.005,1.3988574400000002e+19
0.0055,1.3358542400000002e+19
0.006,1.2787785600000002e+19
0.0065,1.2267729600000002e+19
0.007,1.1792409600000002e+19
0.0075,1.13562336e+19
0.008,1.09543552e+19
0.0085,1.05826736e+19
0.009,1.0238206400000004e+19
0.0095,9.9179712e+18
0.01,9.6189856e+18
0.015,7.450408000000001e+18
0.02,6.134051200000001e+18
0.025,5.2411952e+18
0.03,4.5914048000000005e+18
0.035,4.0955808000000005e+18
0.04,3.7029851200000005e+18
0.045,3.3839801600000005e+18
0.05,3.1190684800000005e+18
0.055,2.89527664e+18
0.06,2.70343376e+18
0.065,2.53701584e+18
0.07,2.39117648e+18
0.075,2.2621876800000003e+18
0.08,2.1472534400000005e+18
0.085,2.0441369600000003e+18
0.09,1.9510115200000003e+18
0.095,1.8665350400000003e+18
0.1,1.7886944000000003e+18
0.15,1.27229184e+18
0.2,9.991040000000001e+17
0.25,8.282870400000001e+17
0.3,7.0966208e+17
0.35,6.1784144e+17
0.4,5.4771776000000006e+17
0.45,4.9228240000000006e+17
0.5,4.4732272000000006e+17
0.55,4.1008000000000006e+17
0.6,3.7872752000000006e+17
0.65,3.5196048e+17
0.7,3.288096e+17
0.75,3.085852e+17
0.8,2.90761632e+17
0.85,2.7493254400000003e+17
0.9,2.6077732800000003e+17
0.95,2.4803502400000003e+17
1.0,2.3651177600000003e+17
1.5,1.61992784e+17
2.0,1.2355337600000002e+17
2.5,1.0001105600000002e+17
3.0,8.412232e+16
3.5,7.299424e+16
4.0,6.520644800000001e+16
4.5,5.949142400000001e+16
5.0,5.500291200000001e+16
5.5,5.132337600000001e+16
6.0,4.823659200000001e+16
6.5,4.5626992e+16
7.0,4.3401376e+16
7.5,4.149264e+16
8.0,3.9841136e+16
8.5,3.8409584e+16
9.0,3.71539936e+16
9.5,3.60449136e+16
10.0,3.5056993600000004e+16
15.0,2.8781278400000004e+16
20.0,2.5196060800000004e+16
25.0,2.27005376e+16
30.0,2.0852568e+16
35.0,1.9421016e+16
40.0,1.82627264e+16
45.0,1.7287854400000002e+16
50.0,1.6441225600000004e+16
55.0,1.5687051200000002e+16
60.0,1.5003708800000002e+16
65.0,1.4377777600000002e+16
70.0,1.3799937600000002e+16
75.0,1.3263851200000002e+16
80.0,1.2765790400000002e+16
85.0,1.2302027200000002e+16
90.0,1.1870324800000002e+16
95.0,1.1468073600000002e+16
100.0,1.10934096e+16
150.0,8500958400000001.0
200.0,7191684800000001.0
250.0,6489702400000001.0
300.0,6086332800000001.0
350.0,5837302400000001.0
400.0,5672897600000000.0
450.0,5556956800000000.0
500.0,5471585600000000.0
550.0,5407464000000000.0
600.0,5359000000000000.0
650.0,5322465600000000.0
700.0,5294878400000000.0
750.0,5272137600000000.0
800.0,5250888000000000.0
850.0,5225537600000000.0
900.0,5191612800000000.0
950.0,5142403200000000.0
1000.0,5072689600000000.0
1500.0,5190494400000000.0
2000.0,5098785600000000.0
2500.0,4962713600000000.0
3000.0,4829251200000000.0
3500.0,4712192000000000.0
4000.0,4613400000000002.0
4500.0,4532129600000000.0
5000.0,4465771200000000.5
5500.0,4412088000000001.5
6000.0,4368843200000000.5
6500.0,4334545600000000.5
7000.0,4307331200000000.5
7500.0,4285708800000000.5
8000.0,4269305600000001.0
8500.0,4257003200000000.5
9000.0,4247683200000000.5
9500.0,4240972800000000.5
10000.0,4236499200000001.0
