Energy (MeV),Defect Generation Rate (cm^-1)
0.1,0.0
0.15,0.0
0.2,0.0
0.25,0.092424576
0.3,0.218173744
0.35,0.31846067200000006
0.4,0.40344416
0.45,0.4783396800000001
0.5,0.54611472
0.55,0.6085214400000001
0.6,0.6667900800000002
0.65,0.72162896
0.7,0.77363456
0.75,0.82321696
0.8,0.87063712
0.85,0.9161187200000002
0.9,0.9599227200000001
0.95,1.00216096
1.0,1.0429825600000002
1.5,1.39080496
2.0,1.6630608
2.5,1.8864425600000003
3.0,2.0753403200000005
3.5,2.2385521600000002
4.0,2.3818937600000005
4.5,2.5094659200000002
5.0,2.6242137600000004
5.5,2.72829952
6.0,2.82343808
6.5,2.91093424
7.0,2.9918318400000015
7.5,3.066951040000001
8.0,3.1370001600000013
8.5,3.20261296
9.0,3.26419952
9.5,3.3222072
10.0,3.37693424
15.0,3.7973408000000006
20.0,4.075076800000001
25.0,4.273406400000001
30.0,4.4210352
35.0,4.533248
40.0,4.620483200000001
45.0,4.6883328
50.0,4.7420160000000005
55.0,4.784142400000001
60.0,4.817694400000001
65.0,4.844536000000001
70.0,4.865785600000001
75.0,4.882561600000001
80.0,4.8963552
85.0,4.907166400000001
90.0,4.916113600000001
95.0,4.922824000000001
100.0,4.928788800000001
150.0,4.9492928
200.0,4.950038400000001
250.0,4.947056000000001
300.0,4.9440736
350.0,4.941091200000001
400.0,4.938481600000001
450.0,4.936244800000001
500.0,4.934380800000001
550.0,4.9328896
600.0,4.931398400000001
650.0,4.930280000000001
700.0,4.9291616000000005
750.0,4.928416
800.0,4.927297600000001
850.0,4.926552000000001
900.0,4.925806400000001
950.0,4.925433600000001
1000.0,4.9246880000000015
1500.0,4.920960000000001
2000.0,4.919096000000001
2500.0,4.9179776
3000.0,4.916859200000001
3500.0,4.916486400000001
4000.0,4.916113600000001
4500.0,4.915740800000001
5000.0,4.915368000000001
5500.0,4.914995200000002
6000.0,4.914995200000002
6500.0,4.914622400000001
7000.0,4.914622400000001
7500.0,4.914249600000001
8000.0,4.914249600000001
8500.0,4.914249600000001
9000.0,4.914249600000001
9500.0,4.913876800000001
10000.0,4.913876800000001
