Energy (MeV),Defect Generation Rate (cm^-1)
0.0001,0.0
0.00015,0.0
0.0002,50805.184
0.00025,91451.56800000001
0.0003,120183.26400000002
0.00035,141298.65600000002
0.0004,157228.40000000002
0.00045,169463.69600000003
0.0005,178977.55200000005
0.00055,186429.824
0.0006,192293.968
0.00065,196909.232
0.0007,200525.392
0.00075,203340.032
0.0008,205498.544
0.00085,207120.224
0.0009,208294.544
0.00095,209099.792
0.001,209595.616
0.0015,205192.848
0.002,194657.52
0.0025,183432.51200000002
0.003,172859.904
0.0035,163252.84800000003
0.004,154615.07200000001
0.0045,146860.83200000002
0.005,139885.744
0.0055,133585.42400000003
0.006,127877.85600000001
0.0065,122677.29600000002
0.007,117924.09600000002
0.0075,113562.336
0.008,109543.552
0.0085,105826.736
0.009,102382.06400000004
0.0095,99179.712
0.01,96189.856
0.015,74504.08000000002
0.02,61340.51200000001
0.025,52411.952
0.03,45914.048
0.035,40955.808000000005
0.04,37029.851200000005
0.045,33839.801600000006
0.05,31190.684800000006
0.055,28952.7664
0.06,27034.3376
0.065,25370.1584
0.07,23911.7648
0.075,22621.876800000002
0.08,21472.534400000004
0.085,20441.3696
0.09,19510.115200000004
0.095,18665.350400000003
0.1,17886.944000000003
0.15,12722.9184
0.2,9991.04
0.25,8282.870400000002
0.3,7096.6208
0.35,6178.4144
0.4,5477.177600000001
0.45,4922.8240000000005
0.5,4473.2272
0.55,4100.800000000001
0.6,3787.2752000000005
0.65,3519.6048
0.7,3288.096
0.75,3085.852
0.8,2907.61632
0.85,2749.3254400000005
0.9,2607.7732800000003
0.95,2480.35024
1.0,2365.1177600000005
1.5,1619.92784
2.0,1235.5337600000003
2.5,1000.1105600000002
3.0,841.2232
3.5,729.9424
4.0,652.0644800000001
4.5,594.9142400000001
5.0,550.02912
5.5,513.2337600000001
6.0,482.3659200000001
6.5,456.26992
7.0,434.01376
7.5,414.9264
8.0,398.41136
8.5,384.09584
9.0,371.539936
9.5,360.449136
10.0,350.56993600000004
15.0,287.812784
20.0,251.96060800000004
25.0,227.005376
30.0,208.52568
35.0,194.21016
40.0,182.627264
45.0,172.87854400000003
50.0,164.41225600000004
55.0,156.87051200000002
60.0,150.037088
65.0,143.77777600000002
70.0,137.999376
75.0,132.63851200000002
80.0,127.65790400000002
85.0,123.02027200000002
90.0,118.70324800000002
95.0,114.68073600000002
100.0,110.934096
150.0,85.009584
200.0,71.91684800000002
250.0,64.89702400000002
300.0,60.86332800000001
350.0,58.37302400000001
400.0,56.728976
450.0,55.569568
500.0,54.715856
550.0,54.07464
600.0,53.59
650.0,53.224656
700.0,52.948784
750.0,52.721376
800.0,52.50888
850.0,52.255376
900.0,51.916128
950.0,51.424032
1000.0,50.726896
1500.0,51.904944
2000.0,50.987856
2500.0,49.627136
3000.0,48.292512
3500.0,47.12192
4000.0,46.13400000000002
4500.0,45.321296
5000.0,44.657712000000004
5500.0,44.120880000000014
6000.0,43.688432000000006
6500.0,43.345456000000006
7000.0,43.07331200000001
7500.0,42.857088000000005
8000.0,42.69305600000001
8500.0,42.570032000000005
9000.0,42.476832
9500.0,42.40972800000001
10000.0,42.36499200000001
