Energy (MeV),NIEL (MeV cm^2 g^-1)
0.1,0.0
0.15,0.0
0.2,0.0
0.25,0.0
0.3,0.0
0.35,0.0
0.4,0.0
0.45,9.3273e-08
0.5,1.1902e-06
0.55,2.3128e-06
0.6,3.4443e-06
0.65,4.5734e-06
0.7,5.6929e-06
0.75,6.7981e-06
0.8,7.8858e-06
0.85,8.9539e-06
0.9,1.0001e-05
0.95,1.1028e-05
1.0,1.2032e-05
1.5,2.0951e-05
2.0,2.8178e-05
2.5,3.4181e-05
3.0,3.9282e-05
3.5,4.3701e-05
4.0,4.7586e-05
4.5,5.1045e-05
5.0,5.4157e-05
5.5,5.698e-05
6.0,5.956e-05
6.5,6.1932e-05
7.0,6.4124e-05
7.5,6.6161e-05
8.0,6.8059e-05
8.5,6.9836e-05
9.0,7.1505e-05
9.5,7.3076e-05
10.0,7.456e-05
15.0,8.5941e-05
20.0,9.3475e-05
25.0,9.8867e-05
30.0,0.00010289
35.0,0.00010598
40.0,0.0001084
45.0,0.0001103
50.0,0.00011182
55.0,0.00011304
60.0,0.00011403
65.0,0.00011483
70.0,0.00011549
75.0,0.00011602
80.0,0.00011647
85.0,0.00011683
90.0,0.00011713
95.0,0.00011738
100.0,0.00011759
150.0,0.00011849
200.0,0.00011863
250.0,0.0001186
300.0,0.00011854
350.0,0.00011847
400.0,0.00011841
450.0,0.00011836
500.0,0.00011831
550.0,0.00011827
600.0,0.00011823
650.0,0.0001182
700.0,0.00011817
750.0,0.00011814
800.0,0.00011812
850.0,0.0001181
900.0,0.00011808
950.0,0.00011806
1000.0,0.00011805
1500.0,0.00011794
2000.0,0.00011788
2500.0,0.00011785
3000.0,0.00011783
3500.0,0.00011781
4000.0,0.0001178
4500.0,0.00011779
5000.0,0.00011778
5500.0,0.00011777
6000.0,0.00011777
6500.0,0.00011776
7000.0,0.00011776
7500.0,0.00011775
8000.0,0.00011775
8500.0,0.00011775
9000.0,0.00011774
9500.0,0.00011774
10000.0,0.00011774
