Energy (MeV),NIEL (MeV cm^2 g^-1)
0.0001,0.0
0.00015,0.0
0.0002,0.0
0.00025,0.0
0.0003,0.0
0.00035,0.0
0.0004,0.055675
0.00045,0.23938
0.0005,0.39601
0.00055,0.53006
0.0006,0.64602
0.00065,0.74721
0.0007,0.83617
0.00075,0.91488
0.0008,0.98488
0.00085,1.0474
0.0009,1.1036
0.00095,1.1541
0.001,1.1997
0.0015,1.481
0.002,1.5965
0.0025,1.6405
0.003,1.6491
0.0035,1.6387
0.004,1.618
0.0045,1.5914
0.005,1.5618
0.0055,1.5307
0.006,1.4992
0.0065,1.4678
0.007,1.4369
0.0075,1.4068
0.008,1.3776
0.0085,1.3493
0.009,1.322
0.0095,1.2958
0.01,1.2704
0.015,1.0639
0.02,0.91865
0.025,0.81132
0.03,0.72856
0.035,0.6626
0.04,0.60866
0.045,0.56363
0.05,0.52541
0.055,0.49251
0.06,0.46386
0.065,0.43865
0.07,0.41629
0.075,0.39629
0.08,0.3783
0.085,0.36201
0.09,0.34718
0.095,0.33363
0.1,0.32118
0.15,0.23599
0.2,0.18824
0.25,0.15726
0.3,0.13555
0.35,0.11956
0.4,0.10724
0.45,0.097426
0.5,0.089413
0.55,0.082734
0.6,0.077073
0.65,0.072208
0.7,0.06783
0.75,0.06383
0.8,0.060291
0.85,0.057141
0.9,0.054319
0.95,0.051774
1.0,0.049467
1.5,0.034439
2.0,0.026588
2.5,0.021733
3.0,0.018421
3.5,0.016012
4.0,0.01418
4.5,0.012775
5.0,0.0117
5.5,0.010821
6.0,0.010079
6.5,0.0094502
7.0,0.0089165
7.5,0.0084625
8.0,0.0080738
8.5,0.0077384
9.0,0.0074461
9.5,0.0071891
10.0,0.0069609
15.0,0.0055898
20.0,0.005029
25.0,0.004762
30.0,0.0045763
35.0,0.0044086
40.0,0.0042535
45.0,0.0041173
50.0,0.0040037
55.0,0.0039126
60.0,0.0038413
65.0,0.0037861
70.0,0.0037432
75.0,0.0037091
80.0,0.0036811
85.0,0.0036569
90.0,0.0036347
95.0,0.0036135
100.0,0.0035923
150.0,0.0033609
200.0,0.0031875
250.0,0.003116
300.0,0.0031039
350.0,0.0031155
400.0,0.0031377
450.0,0.0031704
500.0,0.0032161
550.0,0.0032743
600.0,0.0033392
650.0,0.0034011
700.0,0.0034488
750.0,0.0034726
800.0,0.0034692
850.0,0.0034444
900.0,0.0034148
950.0,0.0034086
1000.0,0.0034676
