Energy (MeV),NIEL (MeV cm^2 g^-1)
0.0001,0.0
0.00015,0.0
0.0002,1.3628
0.00025,2.4531
0.0003,3.2238
0.00035,3.7902
0.0004,4.2175
0.00045,4.5457
0.0005,4.8009
0.00055,5.0008
0.0006,5.1581
0.00065,5.2819
0.0007,5.3789
0.00075,5.4544
0.0008,5.5123
0.00085,5.5558
0.0009,5.5873
0.00095,5.6089
0.001,5.6222
0.0015,5.5041
0.002,5.2215
0.0025,4.9204
0.003,4.6368
0.0035,4.3791
0.004,4.1474
0.0045,3.9394
0.005,3.7523
0.0055,3.5833
0.006,3.4302
0.0065,3.2907
0.007,3.1632
0.0075,3.0462
0.008,2.9384
0.0085,2.8387
0.009,2.7463
0.0095,2.6604
0.01,2.5802
0.015,1.9985
0.02,1.6454
0.025,1.4059
0.03,1.2316
0.035,1.0986
0.04,0.99329
0.045,0.90772
0.05,0.83666
0.055,0.77663
0.06,0.72517
0.065,0.68053
0.07,0.64141
0.075,0.60681
0.08,0.57598
0.085,0.54832
0.09,0.52334
0.095,0.50068
0.1,0.4798
0.15,0.34128
0.2,0.268
0.25,0.22218
0.3,0.19036
0.35,0.16573
0.4,0.14692
0.45,0.13205
0.5,0.11999
0.55,0.11
0.6,0.10159
0.65,0.09441
0.7,0.0882
0.75,0.082775
0.8,0.077994
0.85,0.073748
0.9,0.069951
0.95,0.066533
1.0,0.063442
1.5,0.043453
2.0,0.033142
2.5,0.026827
3.0,0.022565
3.5,0.01958
4.0,0.017491
4.5,0.015958
5.0,0.014754
5.5,0.013767
6.0,0.012939
6.5,0.012239
7.0,0.011642
7.5,0.01113
8.0,0.010687
8.5,0.010303
9.0,0.0099662
9.5,0.0096687
10.0,0.0094037
15.0,0.0077203
20.0,0.0067586
25.0,0.0060892
30.0,0.0055935
35.0,0.0052095
40.0,0.0048988
45.0,0.0046373
50.0,0.0044102
55.0,0.0042079
60.0,0.0040246
65.0,0.0038567
70.0,0.0037017
75.0,0.0035579
80.0,0.0034243
85.0,0.0032999
90.0,0.0031841
95.0,0.0030762
100.0,0.0029757
150.0,0.0022803
200.0,0.0019291
250.0,0.0017408
300.0,0.0016326
350.0,0.0015658
400.0,0.0015217
450.0,0.0014906
500.0,0.0014677
550.0,0.0014505
600.0,0.0014375
650.0,0.0014277
700.0,0.0014203
750.0,0.0014142
800.0,0.0014085
850.0,0.0014017
900.0,0.0013926
950.0,0.0013794
1000.0,0.0013607
1500.0,0.0013923
2000.0,0.0013677
2500.0,0.0013312
3000.0,0.0012954
3500.0,0.001264
4000.0,0.0012375
4500.0,0.0012157
5000.0,0.0011979
5500.0,0.0011835
6000.0,0.0011719
6500.0,0.0011627
7000.0,0.0011554
7500.0,0.0011496
8000.0,0.0011452
8500.0,0.0011419
9000.0,0.0011394
9500.0,0.0011376
10000.0,0.0011364
