Energy (MeV),NIEL (MeV cm^2 g^-1)
0.1,0.0
0.15,0.0
0.2,0.0
0.25,2.4792e-06
0.3,5.8523e-06
0.35,8.5424e-06
0.4,1.0822e-05
0.45,1.2831e-05
0.5,1.4649e-05
0.55,1.6323e-05
0.6,1.7886e-05
0.65,1.9357e-05
0.7,2.0752e-05
0.75,2.2082e-05
0.8,2.3354e-05
0.85,2.4574e-05
0.9,2.5749e-05
0.95,2.6882e-05
1.0,2.7977e-05
1.5,3.7307e-05
2.0,4.461e-05
2.5,5.0602e-05
3.0,5.5669e-05
3.5,6.0047e-05
4.0,6.3892e-05
4.5,6.7314e-05
5.0,7.0392e-05
5.5,7.3184e-05
6.0,7.5736e-05
6.5,7.8083e-05
7.0,8.0253e-05
7.5,8.2268e-05
8.0,8.4147e-05
8.5,8.5907e-05
9.0,8.7559e-05
9.5,8.9115e-05
10.0,9.0583e-05
15.0,0.00010186
20.0,0.00010931
25.0,0.00011463
30.0,0.00011859
35.0,0.0001216
40.0,0.00012394
45.0,0.00012576
50.0,0.0001272
55.0,0.00012833
60.0,0.00012923
65.0,0.00012995
70.0,0.00013052
75.0,0.00013097
80.0,0.00013134
85.0,0.00013163
90.0,0.00013187
95.0,0.00013205
100.0,0.00013221
150.0,0.00013276
200.0,0.00013278
250.0,0.0001327
300.0,0.00013262
350.0,0.00013254
400.0,0.00013247
450.0,0.00013241
500.0,0.00013236
550.0,0.00013232
600.0,0.00013228
650.0,0.00013225
700.0,0.00013222
750.0,0.0001322
800.0,0.00013217
850.0,0.00013215
900.0,0.00013213
950.0,0.00013212
1000.0,0.0001321
1500.0,0.000132
2000.0,0.00013195
2500.0,0.00013192
3000.0,0.00013189
3500.0,0.00013188
4000.0,0.00013187
4500.0,0.00013186
5000.0,0.00013185
5500.0,0.00013184
6000.0,0.00013184
6500.0,0.00013183
7000.0,0.00013183
7500.0,0.00013182
8000.0,0.00013182
8500.0,0.00013182
9000.0,0.00013182
9500.0,0.00013181
10000.0,0.00013181
